danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,song_name,artist_name,popularity
0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,audio_features,6RtPijgfPKROxEzTHNRiDp,224840,4,Rude,MAGIC!,83
0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,audio_features,3QGsuHI8jO1Rx4JWLUh9jd,187973,4,Treat You Better,Shawn Mendes,88
0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,audio_features,4OSBTYWVwsQhGLF9NHvIbR,228093,4,Rolling in the Deep,Adele,84
0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,6lanRgr6wXibZr8KgzXxBl,285120,3,A Thousand Years,Christina Perri,84
0.781,0.436,4,-9.984,0,0.458,0.483,5.51e-06,0.103,0.564,191.965,audio_features,46klpdhfGd8uqRrstIg39u,410344,4,"Te Bote (Remix) [Made Popular By Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny] [Vocal Version]",Party Tyme Karaoke,1
0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993,audio_features,2AY1UAimvTqjJC8vDJsOyy,203187,4,Mayores,Becky G,74
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,247427,4,Wake Me Up,Avicii,88
0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,247427,4,Wake Me Up,Avicii,88
0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,audio_features,7mitXLIMCflkhZiD34uEQI,262147,4,Party Rock Anthem,LMFAO,75
0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,269560,4,All of Me,John Legend,87
0.741,0.661,7,-7.293,1,0.122,0.152,0.905,0.105,0.0573,93.0,audio_features,3V8hl91ooJp4Xw4W84AL7p,230000,4,Starboy (Originally Performed by the Weeknd Ft. Daft Punk) - Karaoke Version,Hit The Button Karaoke,1
0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,audio_features,0mlAOSILGRys2IbvyOT5VJ,173800,4,Échame La Culpa,Luis Fonsi,74
0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,audio_features,6O20JhBJPePEkBdrB5sqRx,225147,4,Diamonds,Rihanna,79
0.258,0.659,5,-5.903,0,0.0596,0.253,0.0,0.111,0.272,189.558,audio_features,1ip2IGDWMrUmlaepEbWlL8,250267,4,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,63
0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,audio_features,4B0JvthVoAAuygILe3n4Bs,205680,4,What Do You Mean?,Justin Bieber,82
0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,158040,4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86
0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,audio_features,3TW73IF0QApNkzDmeBPBAt,205080,4,That’s What I Like,Bruno Mars,0
0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,audio_features,3C0nOe05EIt1390bVABLyN,284867,4,On The Floor,Jennifer Lopez,80
0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987,audio_features,41Fflg7qHiVOD6dEPvsCzO,224573,4,Worth It (feat. Kid Ink),Fifth Harmony,75
0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,audio_features,1dNIEtp7AY3oDAKCGg2XkH,247627,4,Something Just Like This,The Chainsmokers,75
0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,audio_features,5YUyW9opqNsMSEzzecZih1,172854,4,X,Nicky Jam,75
0.629,0.628,9,-6.122,0,0.0405,0.000197,0.0116,0.0418,0.387,128.983,audio_features,5CtvxfWgbjMSucthZCDL4X,273095,4,Somebody That I Used To Know - Tiësto Remix,Gotye,1
0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,audio_features,2ijef6ni2amuunRoKTlgww,188560,4,Sin Pijama,Becky G,68
0.65,0.736,6,-5.84,0,0.229,0.0513,0.0,0.235,0.612,159.174,audio_features,44ONERBHALxftQNWq6dmyd,226160,4,Side To Side,Ariana Grande,78
0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,audio_features,5yY9lUy8nbvjM1Uyo1Uqoc,237735,4,Life Is Good (feat. Drake),Future,77
0.804,0.787,10,-3.824,0,0.0746,0.14,0.0,0.0927,0.562,91.974,audio_features,2beS6dD5rovBxSA1zYoSHR,309120,4,No Me Conoce - Remix,Jhayco,84
0.58,0.894,4,-3.411,0,0.133,0.0414,0.0,0.449,0.385,140.079,audio_features,1gGU3FKR2pXcYpaLb4fAVn,207169,4,DDU-DU DDU-DU (Remix Version) [Live],BLACKPINK,34
0.134,0.0211,5,-35.775,0,0.0336,0.898,0.875,0.0776,0.07,77.659,audio_features,1Usj6PiGnp1LgNteMTS8aK,121567,1,numb (Slowed + Reverb),my head is empty,54
0.737,0.476,4,-5.825,0,0.0262,0.0908,5.39e-05,0.0968,0.555,90.028,audio_features,3vZM2544ETmOCCHuBPZRzm,195743,4,Heathens,Twenty One Pilots,60
0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,3bNv3VuUOKgrf5hu3YcuRo,285240,4,Someone Like You,Adele,84
0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,audio_features,2qG5sZ7Si6sdK74qLxedYM,161627,4,Con Altura,ROSALÍA,74
0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,audio_features,3YRCqOhFifThpSRFJ1VWFM,536067,4,November Rain,Guns N' Roses,82
0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,audio_features,2ksOAxtIxY8yElEWw8RhgK,301714,4,China,Anuel AA,76
0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,audio_features,3e7sxremeOE3wTySiOhGiP,239000,4,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,81
0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,audio_features,5PycBIeabfvX3n9ILG7Vrv,235133,4,Propuesta Indecente,Romeo Santos,81
0.564,0.64,8,-9.541,0,0.0346,0.185,0.826,0.134,0.207,160.086,audio_features,3QYuMpZsC66nwO1tf0jNLw,210187,4,Don't Let Me Down (Originally Performed by the Chainsmokers Ft. Daya) - Karaoke Instrumental Version,Hit The Button Karaoke,8
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,217307,4,Havana (feat. Young Thug),Camila Cabello,81
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,217307,4,Havana (feat. Young Thug),Camila Cabello,81
0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,audio_features,3RiPr603aXAoi4GHyXx0uy,258267,4,Hymn for the Weekend,Coldplay,85
0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,audio_features,7fBv7CLKzipRk6EC6TWHOB,242253,4,The Hills,The Weeknd,88
0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,audio_features,1zB4vmk8tFRmM9UULNzbLB,187147,4,Thunder,Imagine Dragons,88
0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,2XU0oxnq2qxCpomAAuJY8K,209438,4,Dance Monkey,Tones And I,78
0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,audio_features,0puf9yIluy9W0vpMEUoAnN,199387,4,Bang Bang,Jessie J,80
0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,audio_features,0wwPcA6wtMf6HUMpIRdeP7,267067,4,Hotline Bling,Drake,81
0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916,audio_features,6Ges5C2IE738iJh4HyQizQ,226413,4,Ay Vamos,J Balvin,72
0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,200186,4,lovely (with Khalid),Billie Eilish,90
0.681,0.788,1,-4.323,1,0.0785,0.0482,0.0,0.0753,0.839,170.019,audio_features,1j6xOGusnyXq3l6IryKF3G,220117,4,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,84
0.796,0.499,2,-6.166,0,0.0404,0.392,0.0,0.0867,0.798,93.99,audio_features,0HlMshB5JmZjPNbOuOgFHN,266016,4,Nunca Es Suficiente,Los Ángeles Azules,76
0.772,0.803,1,-3.035,1,0.0468,0.188,0.0,0.434,0.853,94.981,audio_features,6U2NuJILEOEpW2tVCuqKHb,242160,4,Dura - Remix,Daddy Yankee,65
0.772,0.803,1,-3.035,1,0.0468,0.188,0.0,0.434,0.853,94.981,audio_features,6U2NuJILEOEpW2tVCuqKHb,242160,4,Dura - Remix,Daddy Yankee,65
0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,audio_features,7iL6o9tox1zgHpKUfh9vuC,193467,4,In Da Club,50 Cent,85
0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,audio_features,7BqBn9nzAq8spo5e7cZ0dJ,220734,4,Just the Way You Are,Bruno Mars,87
0.766,0.756,5,-5.861,1,0.132,0.213,0.0,0.349,0.716,94.027,audio_features,1RouRzlg8OKFeqc6LvdxmB,230000,4,Felices los 4,Maluma,75
0.821,0.759,8,-8.541,1,0.121,0.247,0.0,0.321,0.962,140.01,audio_features,5RIVoVdkDLEygELLCniZFr,185143,4,Watch Me (Whip / Nae Nae),Silentó,67
0.663,0.92,11,-4.07,0,0.226,0.00431,1.69e-05,0.101,0.533,99.935,audio_features,7DM4BPaS7uofFul3ywMe46,259196,4,Vente Pa' Ca (feat. Maluma),Ricky Martin,73
0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,audio_features,5GK7eDDTVz7CTge1wJrDQW,189052,4,Kill This Love,BLACKPINK,71
0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,audio_features,5GK7eDDTVz7CTge1wJrDQW,189052,4,Kill This Love,BLACKPINK,71
0.737,0.742,6,-2.875,1,0.0441,0.218,0.0,0.316,0.386,119.966,audio_features,7uYgVgRSgqluZclLS7wpp4,258000,4,El Farsante - Remix,Ozuna,71
0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,audio_features,6De0lHrwBfPfrhorm9q1Xl,205715,4,Me Rehúso,Danny Ocean,77
0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,audio_features,378iszndTZAR4dH8kwsLC6,224813,4,Cheap Thrills (feat. Sean Paul),Sia,75
0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,audio_features,378iszndTZAR4dH8kwsLC6,224813,4,Cheap Thrills (feat. Sean Paul),Sia,75
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,225280,4,Take on Me,a-ha,90
0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,audio_features,7Ie9W94M7OjPoZVV216Xus,248133,5,Not Afraid,Eminem,83
0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,audio_features,1CmUZGtH29Kx36C1Hleqlz,235613,4,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,67
0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,audio_features,6nek1Nin9q48AVZcWs9e9D,278719,4,Paradise,Coldplay,86
0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,audio_features,6nek1Nin9q48AVZcWs9e9D,278719,4,Paradise,Coldplay,86
0.671,0.954,9,-1.87,1,0.13,0.0244,0.0,0.111,0.556,104.114,audio_features,23WI5V2eD4EyGKxSl7Pyeq,247493,4,Andas En Mi Cabeza,Chino & Nacho,75
0.671,0.954,9,-1.87,1,0.13,0.0244,0.0,0.111,0.556,104.114,audio_features,23WI5V2eD4EyGKxSl7Pyeq,247493,4,Andas En Mi Cabeza,Chino & Nacho,75
0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,0TDLuuLlV54CkRRUOahJb4,245040,4,Titanium (feat. Sia),David Guetta,83
0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,290320,4,Without Me,Eminem,91
0.931,0.485,9,-8.926,1,0.0973,0.607,0.0284,0.141,0.419,131.975,audio_features,6IHR2yfODpHj38M6IbUWAx,155454,4,Bum Bum Tam Tam,MC Fioti,52
0.788,0.477,4,-7.348,1,0.0434,0.549,0.0,0.349,0.86,94.983,audio_features,7MHN1aCFtLXjownGhvEQlF,213027,4,Una Lady Como Tú,Manuel Turizo,70
