Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
La Gozadera (feat. Marc Anthony),Gente De Zona,2016-04-22,75
God's Plan,Drake,2018-06-29,86
Zaroori Tha,Rahat Fateh Ali Khan,2014-05-07,68
Lo Aprendí de Ti - HA-ASH Primera Fila - Hecho Realidad [En Vivo],Ha*Ash,2014-11-11,75
You Belong With Me,Taylor Swift,2008-11-11,76
Rowdy Baby,Dhanush,2018-12-10,55
I Will Always Love You,Whitney Houston,1992-11-17,79
"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2018-02-22,54
Taste (feat. Offset),Tyga,2018-05-16,72
SUBEME LA RADIO,Enrique Iglesias,2017-02-24,70
Last Friday Night (T.G.I.F.),Katy Perry,2012-03-12,75
Dilemma,Nelly,2002-06-25,81
Billie Jean,Michael Jackson,2008-02-08,83
Adventure of a Lifetime,Coldplay,2015-12-04,83
Halo,Beyoncé,2008,77
No Me Acuerdo,Thalia,2018-11-09,68
What Makes You Beautiful,One Direction,2012-05-25,85
Never Gonna Give You Up,Rick Astley,1987-11-12,77
MIA,Bad Bunny,2018-12-23,79
Zombie,The Cranberries,1994-10-03,85
Radioactive,Imagine Dragons,2014-01-01,65
Tusa,KAROL G,2019-11-07,77
7 Years,Lukas Graham,2016-04-01,86
BEBE (feat. Anuel AA),6ix9ine,2018,70
Too Good At Goodbyes,Sam Smith,2017-11-03,87
Secreto,Anuel AA,2019-01-15,75
Timber (feat. Ke$ha),Pitbull,2012,83
Tu No Vive Asi - Dominican Remix,Quimico Ultra Mega,2016-02-28,3
Ride,Twenty One Pilots,2015-05-15,84
Firework,Katy Perry,2010-08-24,71
El Amante,Nicky Jam,2017-01-20,70
Darte un Beso,Prince Royce,2013-10-08,75
Look What You Made Me Do,Taylor Swift,2017-11-10,87
Danza Kuduro,Made famous by Don Omar ft. Lucenzo,2010-11-08,13
Adiós Amor,Christian Nodal,2017-08-25,78
I'm an Albatraoz,AronChupa,2014-08-08,74
El Perdón (with Enrique Iglesias),Nicky Jam,2017-01-20,76
Si Se Da - Remix,Myke Towers,2019-08-02,78
DÁKITI,Bad Bunny,2020-10-30,80
Gangsta's Paradise,Coolio,1995-11-07,87
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-04-23,83
Ahora Dice,Chris Jedi,2017-03-17,75
Problem,Ariana Grande,2014-08-25,77
Work - R3hab Remix,Rihanna,2016-03-18,47
Barbie Girl,Aqua,1997-01-01,80
Rap God,Eminem,2013-11-05,79
Still D.R.E.,Dr. Dre,1999-11-16,84
MIC Drop (Steve Aoki Remix) - Full Length Edition,BTS,2018-08-24,71
Thunderstruck,AC/DC,1990-09-24,85
Can't Feel My Face (In the Style of the Weeknd) [Instrumental Version],The Karaoke Studio,2015-08-10,0
Let Me Love You,DJ Snake,2016-08-05,86
When I Was Your Man,Bruno Mars,2012-12-07,90
Lut Gaye,Jubin Nautiyal,2021-03-19,66
"Alone, Pt. II",Alan Walker,2019-12-27,74
Over the Rainbow,Israel Kamakawiwo'ole,2017-10-15,64
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005-11-28,86
AS IF IT’S YOUR LAST - Japanese Version,BLACKPINK,2017-08-29,58
7 rings,Ariana Grande,2019-02-08,85
Photograph,Ed Sheeran,2014-06-21,87
Soy una Taza (Versión 2019),CantaJuego,2019-04-17,5
"It's My Life - Recorded Live @ Nokia Theatre Times Square, NYC, September 19, 2005",Bon Jovi,2005-01-01,16
I Want It That Way,Backstreet Boys,1999-05-18,84
Limbo,Daddy Yankee,2012-01-01,76
Picky,Joey Montana,2016-09-09,66
Chop Suey!,System Of A Down,2001-09-04,86
El Perdón (with Enrique Iglesias),Nicky Jam,2017-01-20,76
Nothing Else Matters,Metallica,1991-08-12,82
Loyal (feat. Lil Wayne & Tyga),Chris Brown,2014-09-16,76
Bon Appétit,Katy Perry,2017-06-09,67
Mile Ho Tum,Himesh Reshammiya,2006-07-19,24
Elastic Heart,Sia,2014-07-04,80
La La La,Shakira,2014-03-14,47
Lost on You,LP,2017-05-05,76
Can't Remember to Forget You (feat. Rihanna),Shakira,2014-03-14,70
La Mordidita (feat. Yotuel),Ricky Martin,2015-02-10,69
El Perdedor,Maluma,2015-10-30,76
Bring Me To Life,Evanescence,2003-03-04,86
