id,song_name,artist_name,popularity
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),P!nk,84
47ZS1OjnJpJVfGN9yHXfMn,Toda Remix - Remix,Alex Rose,74
6ZGd4ygnoSk8VDvLUWiuU9,What's Up? - Single Version,4 Non Blondes,51
5nIjOnMbC0QDMrYFLGx0yV,BOOMBAYAH - Japanese Version,BLACKPINK,60
0Gx4VrHzS7pZOEAGrmXXBH,La Bicicleta,Carlos Vives,76
0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,82
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,80
5cepAtqnEQ6yVG6088zMMu,Corazón (feat. Nego do Borel),Maluma,72
1E6EwZziD55AK437Ra0b99,Lehanga,Jass Manak,68
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,86
6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,82
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,83
3ggovufLCdvloYXN24X3pX,Sweet Child O' Mine (made famous by Guns N' Roses),Guns N' Roses,8
5RYtz3cpYb28SV8f1FBtGc,I’m Not The Only One (feat. A$AP Rocky),Sam Smith,52
3Ek7BRwu6eO2kSeNMlZC1A,Hey Mama,David Guetta,53
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,88
5kOlvawJm7V3N9hXsZcNNY,"Sweet Child O' Mine - Live In New York, Ritz Theatre - May 16, 1991",Guns N' Roses,32
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,80
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,90
0F5D6ljXbZE2RcGR6msh2B,El Pollito Pio - Radio Edit,Pulcino Pio,42
6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,82
2wARCwO6l5dQvIEjxdAG0H,52 Gaj Ka Daman,Yashvi Singh,7
2BWd1qRu8mc6H0HbDtn8Dr,Gentleman,PSY,51
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,79
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,84
5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,Nicky Jam,73
7FDQl9PJ3AiI3EdzpexKJY,Escapate conmigo vs bombona (Mashup),GianGallia,41
3zkWCteF82vJwv0hRLba76,Stitches,Shawn Mendes,83
2GgxS8bUT5G25QJTsfSv0R,Burn,Ellie Goulding,67
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,86
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,Post Malone,84
