Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
24K Magic,Bruno Mars,2016-11-17,82,"['electro latino', 'latin hip hop', 'latin pop', 'urbano latino']"
Summer,Calvin Harris,2014-10-31,83,"['dance pop', 'pop']"
Sweet Child O' Mine (made famous by Guns N' Roses),Guns N' Roses,2008-07-01,8,"['pop', 'uk pop']"
I’m Not The Only One (feat. A$AP Rocky),Sam Smith,2015-11-06,52,"['pop', 'talent show', 'uk pop']"
Hey Mama,David Guetta,2021-09-03,53,[]
Say You Won't Let Go,James Arthur,2016-10-28,88,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
You're Welcome,Dwayne Johnson,2016-11-18,48,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
How Deep Is Your Love,Calvin Harris,2015-07-17,80,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Do I Wanna Know?,Arctic Monkeys,2013-09-09,90,[]
El Pollito Pio - Radio Edit,Pulcino Pio,2013-04-04,42,"['k-rap', 'korean old school hip hop']"
Bad Blood,Taylor Swift,2014-01-01,79,[]
52 Gaj Ka Daman,Yashvi Singh,2022-04-18,7,['pop']
Gentleman,PSY,2013-01-01,51,"['canadian pop', 'dance pop', 'pop']"
I Like It,Cardi B,2018-04-06,79,"['pop', 'rap']"
Call Me Maybe,Carly Rae Jepsen,2012-01-01,84,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Hasta el Amanecer,Nicky Jam,2017-01-20,73,['techengue']
Escapate conmigo vs bombona (Mashup),GianGallia,2022-10-09,41,"['canadian pop', 'pop', 'viral pop']"
Stitches,Shawn Mendes,2015-04-14,83,"['indietronica', 'metropopolis', 'pop', 'uk pop']"
Burn,Ellie Goulding,2014-01-01,67,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Shallow,Lady Gaga,2018-10-05,86,"['k-pop', 'k-pop girl group', 'pop']"
Congratulations,Post Malone,2016-12-09,84,"['art pop', 'dance pop', 'pop']"
Vaaste,Dhvani Bhanushali,2019-04-06,70,"['desi pop', 'filmi', 'modern bollywood']"
How You Like That,BLACKPINK,2020-10-02,82,"['pop', 'viral pop']"
Attention,Charlie Puth,2018-05-11,87,"['k-pop', 'k-pop boy group', 'pop']"
DNA,BTS,2018-08-24,66,"['cubaton', 'electro latino', 'latin hip hop', 'latin pop', 'reparto']"
La Gozadera (feat. Marc Anthony),Gente De Zona,2016-04-22,75,['neo soul']
God's Plan,Drake,2018-06-29,86,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Zaroori Tha,Rahat Fateh Ali Khan,2014-05-07,68,"['latin arena pop', 'latin pop', 'mexican pop']"
Lo Aprendí de Ti - HA-ASH Primera Fila - Hecho Realidad [En Vivo],Ha*Ash,2014-11-11,75,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']"
You Belong With Me,Taylor Swift,2008-11-11,76,['pop']
Rowdy Baby,Dhanush,2018-12-10,55,['pop']
I Will Always Love You,Whitney Houston,1992-11-17,79,"['filmi', 'kollywood']"
"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2018-02-22,54,['punjabi pop']
Taste (feat. Offset),Tyga,2018-05-16,72,"['hip hop', 'pop rap', 'rap', 'trap']"
SUBEME LA RADIO,Enrique Iglesias,2017-02-24,70,"['dance pop', 'latin pop', 'mexican pop']"
Last Friday Night (T.G.I.F.),Katy Perry,2012-03-12,75,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']"
Dilemma,Nelly,2002-06-25,81,['pop']
Billie Jean,Michael Jackson,2008-02-08,83,"['r&b', 'soul']"
Adventure of a Lifetime,Coldplay,2015-12-04,83,"['latin pop', 'mexican pop']"
Halo,Beyoncé,2008,77,"['boy band', 'pop', 'post-teen pop', 'talent show']"
No Me Acuerdo,Thalia,2018-11-09,68,"['pop', 'r&b']"
What Makes You Beautiful,One Direction,2012-05-25,85,"['new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Never Gonna Give You Up,Rick Astley,1987-11-12,77,"['permanent wave', 'pop']"
MIA,Bad Bunny,2018-12-23,79,"['reggaeton', 'trap latino', 'urbano latino']"
Zombie,The Cranberries,1994-10-03,85,"['irish rock', 'pop rock', 'rock']"
Radioactive,Imagine Dragons,2014-01-01,65,"['modern rock', 'pop', 'rock']"
Tusa,KAROL G,2019-11-07,77,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
7 Years,Lukas Graham,2016-04-01,86,['emo rap']
BEBE (feat. Anuel AA),6ix9ine,2018,70,"['danish pop', 'scandipop']"
Too Good At Goodbyes,Sam Smith,2017-11-03,87,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Secreto,Anuel AA,2019-01-15,75,"['dembow', 'rap dominicano', 'trap dominicano']"
Timber (feat. Ke$ha),Pitbull,2012,83,"['pop', 'uk pop']"
