danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4
0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,audio_features,6E9UwSfT80age2xknoMS7Y,spotify:track:6E9UwSfT80age2xknoMS7Y,https://api.spotify.com/v1/tracks/6E9UwSfT80age2xknoMS7Y,https://api.spotify.com/v1/audio-analysis/6E9UwSfT80age2xknoMS7Y,249127,4
0.72,0.63,10,-5.549,1,0.0413,0.615,0.0,0.108,0.512,81.009,audio_features,2rOnSn2piaqLAlYjtfUBlY,spotify:track:2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,230292,4
0.301,0.825,8,-5.215,0,0.0466,0.0263,0.0,0.918,0.391,128.974,audio_features,6d5xaGygV50jQ2ZKEg03AE,spotify:track:6d5xaGygV50jQ2ZKEg03AE,https://api.spotify.com/v1/tracks/6d5xaGygV50jQ2ZKEg03AE,https://api.spotify.com/v1/audio-analysis/6d5xaGygV50jQ2ZKEg03AE,292427,4
0.84,0.667,7,-6.482,1,0.184,0.202,2.18e-05,0.355,0.197,100.01,audio_features,59vbPXCgc6oxbSzMfVBLNb,spotify:track:59vbPXCgc6oxbSzMfVBLNb,https://api.spotify.com/v1/tracks/59vbPXCgc6oxbSzMfVBLNb,https://api.spotify.com/v1/audio-analysis/59vbPXCgc6oxbSzMfVBLNb,147429,4
0.383,0.616,5,-7.118,1,0.0515,0.314,7.21e-06,0.11,0.48,147.625,audio_features,4rkUEE5iTzG0szS8k8QzqR,spotify:track:4rkUEE5iTzG0szS8k8QzqR,https://api.spotify.com/v1/tracks/4rkUEE5iTzG0szS8k8QzqR,https://api.spotify.com/v1/audio-analysis/4rkUEE5iTzG0szS8k8QzqR,208667,4
0.866,0.8,2,-4.35,0,0.0832,0.131,0.0,0.112,0.814,94.926,audio_features,4Imi1rFR3ptgSLT7CQrVo2,spotify:track:4Imi1rFR3ptgSLT7CQrVo2,https://api.spotify.com/v1/tracks/4Imi1rFR3ptgSLT7CQrVo2,https://api.spotify.com/v1/audio-analysis/4Imi1rFR3ptgSLT7CQrVo2,169615,4
0.359,0.972,7,-3.452,1,0.109,0.136,2.52e-06,0.14,0.595,62.914,audio_features,1HBGWNyoRJhxvsfO8LLFDo,spotify:track:1HBGWNyoRJhxvsfO8LLFDo,https://api.spotify.com/v1/tracks/1HBGWNyoRJhxvsfO8LLFDo,https://api.spotify.com/v1/audio-analysis/1HBGWNyoRJhxvsfO8LLFDo,249742,4
0.76,0.499,6,-6.008,1,0.101,0.00721,0.0,0.115,0.676,86.554,audio_features,0ndzWGIni57SnqcUgsoaUu,spotify:track:0ndzWGIni57SnqcUgsoaUu,https://api.spotify.com/v1/tracks/0ndzWGIni57SnqcUgsoaUu,https://api.spotify.com/v1/audio-analysis/0ndzWGIni57SnqcUgsoaUu,141461,5
0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,audio_features,0F7FA14euOIX8KcbEturGH,spotify:track:0F7FA14euOIX8KcbEturGH,https://api.spotify.com/v1/tracks/0F7FA14euOIX8KcbEturGH,https://api.spotify.com/v1/audio-analysis/0F7FA14euOIX8KcbEturGH,113000,4
0.504,0.633,7,-6.564,1,0.0359,0.0203,0.0,0.0923,0.235,139.934,audio_features,00yy415wjpCeZJBei2Vv07,spotify:track:00yy415wjpCeZJBei2Vv07,https://api.spotify.com/v1/tracks/00yy415wjpCeZJBei2Vv07,https://api.spotify.com/v1/audio-analysis/00yy415wjpCeZJBei2Vv07,227120,4
0.963,0.826,1,-1.725,0,0.144,0.31,6.44e-05,0.125,0.142,130.001,audio_features,261vtIjvKdSBzhvvu8q4nv,spotify:track:261vtIjvKdSBzhvvu8q4nv,https://api.spotify.com/v1/tracks/261vtIjvKdSBzhvvu8q4nv,https://api.spotify.com/v1/audio-analysis/261vtIjvKdSBzhvvu8q4nv,187925,4
0.735,0.872,1,-3.053,0,0.0398,0.58,0.0,0.541,0.833,101.995,audio_features,23dCPIMivfUQwUPSeDSUPc,spotify:track:23dCPIMivfUQwUPSeDSUPc,https://api.spotify.com/v1/tracks/23dCPIMivfUQwUPSeDSUPc,https://api.spotify.com/v1/audio-analysis/23dCPIMivfUQwUPSeDSUPc,203618,4
0.663,0.913,5,-4.681,0,0.152,0.415,0.000496,0.158,0.805,187.552,audio_features,4uXJADmybUHUgycBWFHeq6,spotify:track:4uXJADmybUHUgycBWFHeq6,https://api.spotify.com/v1/tracks/4uXJADmybUHUgycBWFHeq6,https://api.spotify.com/v1/audio-analysis/4uXJADmybUHUgycBWFHeq6,245760,3
0.504,0.633,7,-6.564,1,0.0359,0.0203,0.0,0.0923,0.235,139.934,audio_features,00yy415wjpCeZJBei2Vv07,spotify:track:00yy415wjpCeZJBei2Vv07,https://api.spotify.com/v1/tracks/00yy415wjpCeZJBei2Vv07,https://api.spotify.com/v1/audio-analysis/00yy415wjpCeZJBei2Vv07,227120,4
0.739,0.722,9,-5.85,0,0.128,0.253,0.000386,0.108,0.492,121.978,audio_features,5mC4THighaz8No4EYw59ZC,spotify:track:5mC4THighaz8No4EYw59ZC,https://api.spotify.com/v1/tracks/5mC4THighaz8No4EYw59ZC,https://api.spotify.com/v1/audio-analysis/5mC4THighaz8No4EYw59ZC,285261,4
0.762,0.832,11,-4.765,0,0.0466,0.126,0.0,0.106,0.561,100.017,audio_features,1VWKE1mEA5V1Y61fzJI6rg,spotify:track:1VWKE1mEA5V1Y61fzJI6rg,https://api.spotify.com/v1/tracks/1VWKE1mEA5V1Y61fzJI6rg,https://api.spotify.com/v1/audio-analysis/1VWKE1mEA5V1Y61fzJI6rg,202568,4
0.787,0.603,9,-4.781,1,0.034,0.435,0.0,0.101,0.743,106.984,audio_features,7sVEoPc5ZUUQerRkgTypUZ,spotify:track:7sVEoPc5ZUUQerRkgTypUZ,https://api.spotify.com/v1/tracks/7sVEoPc5ZUUQerRkgTypUZ,https://api.spotify.com/v1/audio-analysis/7sVEoPc5ZUUQerRkgTypUZ,224072,4
