Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),7034508,2019/12/31,2.0,2.0,134.0,q0hyYWKXF0Q
Imagine Dragons - Thunder,3894191,2017/05/03,26.0,,149.0,fKopy74weus
The Weeknd - The Hills,3600178,2015/12/04,5.0,,89.0,yzTuBuRdAyA
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,3396127,2016/08/04,5.0,,112.0,Io0fBr1XBUA
Coldplay - Hymn For The Weekend (Official Video),6038840,2016/01/30,6.0,,117.0,YykjpeuMNEk
Camila Cabello - Havana (Audio) ft. Young Thug,10347618,2018/01/13,3.0,1.0,75.0,HCjNJDNzw8Y
Drake - Hotline Bling,5764505,2015/12/31,3.0,1.0,83.0,uxpDa-c-4Mc
J. Balvin - Ay Vamos (Official Video),2455860,2015/12/31,9.0,,157.0,TapXs54Ah3E
"Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj",2851061,2014/08/26,9.0,,133.0,0HDdjwpPM3Y
"Billie Eilish, Khalid - lovely (Official Music Video)",2234793,2020/11/13,23.0,,266.0,V1Pl8CzNzCw
Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),3483628,2019/01/16,29.0,,278.0,k76BgIb89-s
Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],6247326,2018/02/15,7.0,,73.0,y7d9VLRO3vc
Daddy Yankee - Dura (Video Oficial),13968461,2018/02/15,1.0,1.0,91.0,sGIm0-dQd8M
50 Cent - In Da Club (Official Music Video),1807536,2022/02/19,33.0,,157.0,5qm8PH4xAss
Silentó - Watch Me (Whip/Nae Nae) (Official),4929343,2015/08/29,3.0,3.0,107.0,vjW8wmF5VWc
BLACKPINK - 'Kill This Love' M/V,44159625,2019/04/05,1.0,1.0,204.0,2S24-y0Ij3Y
Bruno Mars - Just The Way You Are (Official Music Video),1201649,2018/11/10,4.0,,218.0,LjhCEhWiKXk
Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,7198749,2016/12/31,6.0,,62.0,iOe6dI2JhgU
Maluma - Felices los 4 (Official Video),10514031,2017/06/10,3.0,10.0,46.0,t_jHrUE5IOk
Danny Ocean -  Me Rehúso (Official Audio),6279423,2017/09/02,5.0,,80.0,aDCcLQto5BM
Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),13604024,2018/02/23,1.0,1.0,63.0,wfWkmURBNv8
Sia - Cheap Thrills (Official Lyric Video) ft. Sean Paul,4295973,2016/05/14,4.0,,72.0,nYh-n7EOtMA
a-ha - Take On Me (Official Video) [Remastered in 4K],1537061,2017/12/31,92.0,,91.0,djV11Xbc914
Eminem - Not Afraid,2576208,2010/06/06,1.0,1.0,250.0,j5-yKhDd64s
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),3048718,2013/03/16,2.0,8.0,187.0,QK8mJJJvaes
