Id,Song Name,Artist Name,Channel_name,View,Like,Subscriber,Hashtag,Most view per day,Highest rank,Most-view-date,Charted-duration,Popularity Score (Spotify),Duration,Country,Publish_time,Release Date (Spotify),Genre,spotify_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
qn3ITODjLiw,بنيتى الحبوبه,Mashael,Platinum Records,556522085.0,2057514.0,8220000.0,0.0,591313,21.0,2020-01-16,25.0,34,0:04:02,AE,2011-11-06 09:00:00,2011-07-07,khaliji,00HyGRJEbFjmBlRl5X4SZP,182000.0,0.809,0.796,7.0,-4.186,1.0,0.0687,0.159,0.0,0.0533,0.761,104.044,4.0
0EWbonj7f18,Tsunami - Original Mix,DVBBS,Spinnin' Records,558025026.0,3586397.0,30300000.0,5.0,421283,21.0,2017-12-31,25.0,41,0:03:56,NL,2013-08-19 14:00:39,2014-07-08,"reggaeton, trap latino, urbano latino",5cO52t3E8A5BST1IYGewbl,236706.0,0.699,0.839,4.0,-5.353,0.0,0.0481,0.0483,0.655,0.0897,0.264,128.026,4.0
13m9v78uNJk,Mi Buen Amor,Mon Laferte,MonLaferteVEVO,557085027.0,1817882.0,2330000.0,6.0,806246,152.0,2023-04-04,3.0,79,0:03:50,,2017-08-08 22:00:00,2017-04-28,"black americana, contemporary country, country, country road",28UP90XhjCovLtieduYr9P,227587.0,0.4,0.541,7.0,-4.527,1.0,0.0274,0.557,2.13e-05,0.136,0.268,99.343,3.0
EyBooxCkF3A,Marmalade (feat. Lil Yachty),Macklemore,Macklemore,556323235.0,3997746.0,9500000.0,0.0,2785577,98.0,2017-08-02,12.0,61,0:05:09,US,2017-08-02 15:55:48,2017-09-22,"big room, dance pop, edm, pop, pop dance",7bsnTsbiwOymZWjPF9v6Di,261615.0,0.922,0.583,5.0,-4.982,1.0,0.0753,0.0098,0.0,0.0962,0.494,136.043,4.0
dRX0wDNK6S4,Heaven,Kane Brown,KaneBrownVEVO,556220676.0,2412776.0,701000.0,0.0,839979,21.0,2018-04-27,25.0,74,0:02:56,US,2017-10-06 07:00:02,2017-10-06,"banda, corrido, musica mexicana, norteno, sierreno",1HXy5I3HTWq8OvxCn0z7G7,179507.0,0.677,0.556,9.0,-6.544,1.0,0.0306,0.263,0.0,0.105,0.521,80.006,4.0
NUVCQXMUVnI,Memories (feat. Kid Cudi),David Guetta,David Guetta,555291942.0,3129994.0,26100000.0,0.0,528501,21.0,2020-12-31,25.0,77,0:03:29,US,2010-02-08 17:05:18,2010-11-22,emo rap,7fLzbEOBOae9lUnOwr7Tse,210093.0,0.561,0.87,8.0,-6.103,1.0,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4.0
uJ_1HMAGb4k,Riptide,Vance Joy,Mushroom,552573549.0,3694182.0,527000.0,0.0,465407,21.0,2018-09-17,25.0,86,0:03:25,AU,2013-04-03 02:59:48,2014-09-08,"afrobeats, nigerian pop",7yq4Qj7cqayVTp3FF9CWbm,204280.0,0.484,0.731,1.0,-6.694,1.0,0.0379,0.431,0.0,0.151,0.51,101.654,4.0
z5WrgDzNIZ0,GOTTI,6ix9ine,WORLDSTARHIPHOP,553170989.0,4209092.0,26700000.0,4.0,3307583,29.0,2018-04-15,24.0,63,0:04:28,US,2018-04-15 18:58:59,2018-04-10,"sertanejo, sertanejo pop, sertanejo universitario",6FPxVmp66GVKkVvfiBWly4,166852.0,0.733,0.584,10.0,-7.485,0.0,0.174,0.0563,0.0,0.0641,0.36,161.944,4.0
CQLsdm1ZYAw,Calm Down (with Selena Gomez),Rema,Rema,553392923.0,4626415.0,3870000.0,3.0,1762538,18.0,2023-01-11,30.0,90,0:03:40,NG,2022-02-11 18:11:06,2022-08-25,"brooklyn drill, rap",0WtM2NBVQNNJLh6scP13H8,239318.0,0.801,0.806,11.0,-5.206,1.0,0.0381,0.382,0.000669,0.114,0.802,106.999,4.0
-ZByWa9hH5s,Cobaia - Ao Vivo,Lauana Prado,LauanaPradoVEVO,553376574.0,2279112.0,64700.0,3.0,2067526,49.0,2019-06-15,27.0,41,0:03:45,,2018-11-09 13:00:00,2019-06-28,"folk-pop, modern rock",7djKVQ0JFLroQfnOGtPaxo,223242.0,0.708,0.837,8.0,-2.457,1.0,0.0434,0.455,0.0,0.35,0.395,114.047,4.0
MYSVMgRr6pw,Take Me To Church,Hozier,HozierVEVO,553648044.0,3173210.0,1070000.0,2.0,436958,21.0,2016-02-28,25.0,86,0:04:01,US,2013-09-25 10:54:58,2014-07-20,"irish singer-songwriter, modern rock, pov: indie",3dYD57lRAUcMHufyqn9GcI,241688.0,0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,4.0
eJnQBXmZ7Ek,Chlorine,Twenty One Pilots,twenty one pilots,554284811.0,4434842.0,13200000.0,3.0,2163399,71.0,2019-01-23,10.0,76,0:05:24,US,2019-01-23 02:49:28,2018-10-05,"modern rock, pop, pov: indie, rock",23OXdR7YuUBVWh5hSnYJau,324467.0,0.609,0.674,10.0,-7.388,0.0,0.0548,0.0735,0.06,0.345,0.315,90.009,4.0
mmKAn1MeB04,Rebota,Guaynaa,Guaynaa ,553077326.0,3240458.0,3440000.0,0.0,3031959,23.0,2019-05-11,28.0,67,0:03:23,PR,2019-01-12 02:05:32,2018-12-14,"reggaeton, reggaeton flow, urbano latino",4THusowxdHxwt0HBh5pyRx,204631.0,0.816,0.911,1.0,-2.002,1.0,0.255,0.188,0.0,0.498,0.931,89.686,4.0
X8sSXU-J8fI,La Modelo,Ozuna,Ozuna,552578796.0,3065655.0,36500000.0,0.0,5762178,32.0,2017-12-20,14.0,66,0:05:09,PR,2017-12-19 19:00:31,2018-08-24,"nasheed, rif, sholawat",2SbzdGpOKlH3HIAGTWTbwU,255507.0,0.574,0.734,1.0,-2.697,1.0,0.0728,0.241,0.00806,0.0962,0.769,98.023,4.0
Vqfy4ScRXFQ,Ya Nabi Salam Alayka - Arabic Version - Bonus Track,Maher Zain,Awakening Music,554814337.0,4945412.0,13700000.0,0.0,892182,189.0,2020-10-29,2.0,54,0:05:37,GB,2011-08-16 20:17:37,2009-10-30,"puerto rican pop, reggaeton, trap latino, urbano latino",1UNOACS4O1ROKbDsLfMjOd,298947.0,0.385,0.688,11.0,-4.147,0.0,0.0382,0.479,1.01e-06,0.312,0.643,176.024,4.0
Oextk-If8HQ,Somewhere Only We Know,Keane,KeaneVEVO,555503222.0,3904185.0,467000.0,0.0,590323,21.0,2023-07-06,25.0,88,0:03:57,,2009-10-09 03:16:18,2004-05-10,"neo mellow, piano rock, pop rock",1SKPmfSYaPsETbRHaiA18G,237147.0,0.448,0.665,9.0,-4.203,1.0,0.026,0.06,2.55e-05,0.0828,0.304,172.004,4.0
9knYNjp95bs,Пчеловод,RASA,RASA MUSIC,552208428.0,2199494.0,2240000.0,0.0,1117875,79.0,2020-01-18,23.0,54,0:03:00,RU,2019-08-16 02:29:34,2019-07-03,"russian dance, russian pop",6kt3shsbVZ9bh5NNCPfzrB,170214.0,0.838,0.636,8.0,-8.594,0.0,0.136,0.238,1.16e-05,0.131,0.609,128.037,4.0
7lWeQs8Firo,Coka,Sukh-E Muzical Doctorz,DM - Desi Melodies,552014476.0,2589496.0,18700000.0,6.0,2141640,39.0,2019-03-02,29.0,61,0:03:01,IN,2019-01-09 09:34:31,2019-06-01,"desi pop, punjabi pop",4ZoPO0uIf19KKO7B0HEnmP,141862.0,0.789,0.811,0.0,-2.623,1.0,0.0972,0.124,1.96e-05,0.176,0.661,93.985,4.0
Y0pdQU87dc8,(Everything I Do) I Do It For You,Bryan Adams,Bryan Adams,551156484.0,2719005.0,5750000.0,3.0,613130,199.0,2023-09-16,1.0,78,0:06:33,,2009-03-10 18:04:42,1991-09-24,"canadian pop, canadian singer-songwriter, classic canadian rock, heartland rock, mellow gold, soft rock",1Eb90nmqTrxylKFhcUzW8P,393640.0,0.533,0.36,1.0,-12.633,1.0,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,4.0
W0yp3rSfx3I,She Don't Like The Lights,Justin Bieber,MUEVA Records,550649912.0,3603617.0,5870000.0,0.0,1104043,148.0,2018-01-26,7.0,50,0:03:50,AR,2017-11-08 00:01:14,2012-06-15,"filmi, modern bollywood",2Z3y6552thvY2jKNHHMtXj,239867.0,0.573,0.896,4.0,-4.6,0.0,0.102,0.00574,0.00213,0.317,0.452,123.944,4.0
1BVgpX4w0Wk,"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,T-Series,551604734.0,2466081.0,254000000.0,3.0,1177632,21.0,2022-07-10,25.0,68,0:03:07,IN,2019-04-04 13:30:01,2018-12-13,"r&b, rap, uk contemporary r&b",5x72Q1SyiDHJ4IF2mRzfkg,174711.0,0.789,0.95,5.0,-3.604,0.0,0.0759,0.191,1.41e-05,0.0969,0.746,126.013,4.0
LH4Y1ZUUx2g,"break up with your girlfriend, i'm bored",Ariana Grande,ArianaGrandeVevo,550745265.0,6386187.0,17600000.0,0.0,18190505,1.0,2019-02-08,17.0,78,0:03:25,,2019-02-08 04:58:46,2019-02-08,"thai folk rock, thai rock",4kV4N9D1iKVxx1KLvtTpjS,190440.0,0.726,0.554,5.0,-5.29,0.0,0.0917,0.0421,0.0,0.106,0.335,169.999,4.0
2dg9oc78Kv4,เชือกวิเศษ,Labanoon,Genierock,548797352.0,1498833.0,15600000.0,0.0,2075804,14.0,2015-09-11,37.0,1,0:05:43,TH,2015-08-26 12:59:44,2015-09-30,"desi pop, modern bollywood",5m9B3AhtHK7JJhKwUp3bW8,262910.0,0.553,0.607,2.0,-4.707,1.0,0.0289,0.296,0.0,0.17,0.331,135.903,4.0
BEz8l69aI8Y,"Quarta Cadeira (Made Popular By Matheus & Kauan, Jorge & Mateus) [Karaoke Version]",Party Tyme Karaoke,MatheusKauanVEVO,548893849.0,1561126.0,4210000.0,2.0,1132833,160.0,2019-08-24,8.0,0,0:03:44,US,2019-04-17 14:00:03,2023-04-11,"pop, post-teen pop",0S4SjheqTObQqGPWsE1Abk,219771.0,0.542,0.699,8.0,-7.97,1.0,0.0318,0.0556,0.119,0.142,0.578,153.746,4.0
HHP5MKgK0o8,Kill Em With Kindness,Selena Gomez,SelenaGomezVEVO,549650604.0,4042959.0,14400000.0,0.0,3386868,13.0,2016-06-07,24.0,66,0:03:44,US,2016-06-06 16:00:01,2015-10-09,karaoke,7KxhSJOYiqCDclXDBNlFSZ,217907.0,0.757,0.884,10.0,-5.488,0.0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,4.0
ZTBwxy4wsBQ,Dil Tod Ke,Rochak Kohli,T-Series,550481880.0,4640891.0,254000000.0,0.0,3900541,15.0,2020-09-10,36.0,67,0:04:49,IN,2020-07-15 05:30:32,2020-07-15,"canadian pop, pop",71OoohX1NBG4ez6eijgaWE,239162.0,0.484,0.658,10.0,-5.657,0.0,0.219,0.348,0.0,0.0995,0.654,85.008,4.0
T4cdfRohhcg,Kiss You,One Direction,OneDirectionVEVO,549371469.0,3953928.0,21800000.0,8.0,5914902,2.0,2013-01-07,46.0,74,0:03:10,,2013-01-07 19:57:08,2012-11-12,"boy band, pop, post-teen pop, talent show",4My8w8AA1JpG6E5SiAPvJL,182867.0,0.637,0.93,4.0,-2.632,1.0,0.0511,0.0177,0.0,0.452,0.886,90.014,4.0
mLugzKRTf-0,Despeinada,Ozuna,Ozuna,548945678.0,2221564.0,36500000.0,3.0,8132678,5.0,2020-09-06,34.0,72,0:04:19,PR,2020-09-03 19:00:06,2020-09-04,"puerto rican pop, reggaeton, trap latino, urbano latino",0JAZWvvqttGFm4UMDsPQXC,224187.0,0.734,0.775,8.0,-3.855,1.0,0.0614,0.186,0.000542,0.123,0.72,166.039,4.0
2WsIm6pNlI4,Estranho - Ao Vivo | Acústico,Marília Mendonça,Marília Mendonça,548169788.0,2153494.0,26200000.0,0.0,2590584,80.0,2018-03-23,28.0,51,0:02:40,BR,2018-03-23 14:00:47,2018-04-13,"arrocha, sertanejo, sertanejo universitario",4NFqlsk3yQn7DULU8OGnfP,157931.0,0.739,0.504,2.0,-5.925,1.0,0.0576,0.493,0.0,0.0956,0.391,155.876,4.0
W3q8Od5qJio,Du hast,Rammstein,Rammstein Official,548235591.0,3089648.0,7770000.0,10.0,399078,21.0,2019-03-29,25.0,71,0:03:56,DE,2015-07-31 14:37:12,1997-08-25,"alt z, pop, pov: indie",5awDvzxWfd53SSrsRZ8pXO,234227.0,0.64,0.922,9.0,-6.283,0.0,0.0385,0.00369,0.055,0.332,0.716,125.105,4.0
50VNCymT-Cs,Let Me Down Slowly,Alec Benjamin,Alec Benjamin,548022365.0,7610703.0,5220000.0,5.0,476098,21.0,2021-02-06,25.0,87,0:02:58,,2018-06-04 19:00:23,2018-11-16,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte",2qxmye6gAegTMjLKEBoR3d,169354.0,0.652,0.557,1.0,-5.714,0.0,0.0318,0.74,0.0,0.124,0.483,150.073,4.0
U-BthnzHCUM,Hasta el Amanecer,Nicky Jam,Adexe & Nau,546662134.0,3257116.0,12700000.0,1.0,827266,21.0,2016-12-10,25.0,73,0:03:25,ES,2016-02-03 19:32:58,2017-01-20,"latin hip hop, reggaeton, trap latino, urbano latino",5Fim1gaXBgsiFfsQAfQSDS,198707.0,0.832,0.608,6.0,-6.042,0.0,0.0385,0.282,0.0,0.0761,0.589,94.013,4.0
f4Mc-NYPHaQ,I Want To Break Free,Queen,Queen Official,546205285.0,3904886.0,17300000.0,3.0,1645614,179.0,2018-11-07,2.0,74,0:04:32,GB,2008-09-01 13:33:06,2018-10-19,"bhajan, classic bollywood, filmi, ghazal, hare krishna",7iAqvWLgZzXvH38lA06QZg,223080.0,0.807,0.414,4.0,-8.903,1.0,0.0352,0.105,2.57e-05,0.0813,0.502,108.944,4.0
